Land;Hovedstad;Verdensdel;Programsti
Lesotho;Maseru;Afrika;Lesotho.png
Libanon;Beirut;Asia;Libanon.png
Liberia;Monrovia;Afrika;Liberia.png
Libya;Tripoli;Afrika;Libya.png
Liechtenstein;Vaduz;Europa;Liechtenstein.png
Litauen;Vilnius;Europa;Litauen.png
Luxembourg;Luxembourg;Europa;Luxembourg.png
Madagaskar;Antananarivo;Afrika;Madagaskar.png
Malawi;Lilongwe;Afrika;Malawi.png
Malaysia;Kuala Lumpur (offisiell), Putrajaya (administrativ);Asia;Malaysia.png
Maldivene;Malé;Asia;Maldivene.png
Mali;Bamako;Afrika;Mali.png
Malta;Valletta;Europa;Malta.png
Marokko;Rabat;Afrika;Marokko.png
Marshalløyene;Majuro;Oseania;Marshalløyene.png
Mauritania;Nouakchott;Afrika;Mauritania.png
Mauritius;Port Louis;Afrika;Mauritius.png
Mexico;Mexico by;Nord-Amerika;Mexico.png
Mikronesia;Palikir;Oseania;Mikronesia.png
Moldova;Chișinău;Europa;Moldova.png
Monaco;Monaco;Europa;Monaco.png
Mongolia;Ulan Bator;Asia;Mongolia.png
Montenegro;Podgorica;Europa;Montenegro.png
Mosambik;Maputo;Afrika;Mosambik.png
Myanmar;Nay Pyi Taw;Asia;Myanmar.png
Namibia;Windhoek;Afrika;Namibia.png
Nauru;Ingen offisiell hovedstad (*Yaren de facto*);Oseania;Nauru.png
Nederland;Amsterdam (offisiell), Haag (administrativ);Europa;Nederland.png
Nepal;Katmandu;Asia;Nepal.png
New Zealand;Wellington;Oseania;New Zealand.png
Nicaragua;Managua;Nord-Amerika;Nicaragua.png
Niger;Niamey;Afrika;Niger.png
Nigeria;Abuja;Afrika;Nigeria.png
Nord-Korea;Pyongyang;Asia;Nord-Korea.png
Nord-Makedonia;Skopje;Europa;Nord-Makedonia.png
Norge;Oslo;Europa;Norge.png
Oman;Muskat;Asia;Oman.png
Pakistan;Islamabad;Asia;Pakistan.png
Palau;Ngerulmud;Sør-Amerika;Palau.png
Panama;Panama by;Nord-Amerika;Panama.png
Papua Ny-Guinea;Port Moresby;Oseania;Papua Ny-Guinea.png
Paraguay;Asunción;Sør-Amerika;Paraguay.png
Peru;Lima;Sør-Amerika;Peru.png
Polen;Warszawa;Europa;Polen.png
Portugal;Lisboa;Europa;Portugal.png
Qatar;Doha;Asia;Qatar.png
Romania;București;Europa;Romania.png
Russland;Moskva;Asia;Russland.png
Rwanda;Kigali;Afrika;Rwanda.png
Saint Kitts og Nevis;Basseterre;Nord-Amerika;Saint Kitts og Nevis.png
Saint Lucia;Castries;Nord-Amerika;Saint Lucia.png
Saint Vincent og Grenadinene;Kingstown;Nord-Amerika;Saint Vincent og Grenadinene.png
Salomonøyene;Honiara;Oseania;Salomonøyene.png
Samoa;Apia;Oseania;Samoa.png
San Marino;San Marino by;Europa;San Marino.png
São Tomé og Príncipe;São Tomé;Afrika;São Tomé og Príncipe.png
Saudi-Arabia;Riyadh;Asia;Saudi-Arabia.png
Senegal;Dakar;Afrika;Senegal.png
Den sentralafrikanske republikk;Bangui;Afrika;Den sentralafrikanske republikk.png
Serbia;Beograd;Europa;Serbia.png
Seychellene;Victoria;Afrika;Seychellene.png
Sierra Leone;Freetown;Afrika;Sierra Leone.png
Singapore;Singapore;Asia;Singapore.png
Slovakia;Bratislava;Europa;Slovakia.png
Slovenia;Ljubljana;Europa;Slovenia.png
Somalia;Mogadishu;Afrika;Somalia.png
Spania;Madrid;Europa;Spania.png
Sri Lanka;Colombo (kommersiell), Sri Jayawardenapura Kotte;Asia;Sri Lanka.png
Storbritannia;London;Europa;Storbritannia.png
Sudan;Khartoum;Afrika;Sudan.png
Surinam;Paramaribo;Sør-Amerika;Surinam.png
Sveits;Bern;Europa;Sveits.png
Sverige;Stockholm;Europa;Sverige.png
Syria;Damaskus;Asia;Syria.png
Sør-Afrika;Pretoria, Cape Town, Bloemfontein;Afrika;Sør-Afrika.png
Sør-Korea;Seoul;Asia;Sør-Korea.png
Sør-Sudan;Juba;Afrika;Sør-Sudan.png
Tadsjikistan;Dusjanbe;Asia;Tadsjikistan.png
Taiwan;Taipei;Asia;Taiwan.png
Tanzania;Dodoma (offisiell), Dar-es-Salaam (administrativ);Afrika;Tanzania.png
Thailand;Bangkok;Asia;Thailand.png
Togo;Lomé;Afrika;Togo.png
Tonga;Nuku'alofa;Oseania;Tonga.png
Trinidad og Tobago;Port of Spain;Sør-Amerika;Trinidad og Tobago.png
Tsjad;N'Djamena;Afrika;Tsjad.png
Tsjekkia;Praha;Europa;Tsjekkia.png
Tunisia;Tunis;Afrika;Tunisia.png
Turkmenistan;Aşgabat;Asia;Turkmenistan.png
Tuvalu;Funafuti;Oseania;Tuvalu.png
Tyrkia;Ankara;Europa;Tyrkia.png
Tyskland;Berlin;Europa;Tyskland.png
Uganda;Kampala;Afrika;Uganda.png
Ukraina;Kyiv;Europa;Ukraina.png
Ungarn;Budapest;Europa;Ungarn.png
Uruguay;Montevideo;Sør-Amerika;Uruguay.png
Usbekistan;Tasjkent;Asia;Usbekistan.png
Vanuatu;Port Vila;Oseania;Vanuatu.png
Vatikanstaten;Vatikanstaten;Europa;Vatikanstaten.png
Venezuela;Caracas;Sør-Amerika;Venezuela.png
Vietnam;Hanoi;Asia;Vietnam.png
Zambia;Lusaka;Afrika;Zambia.png
Zimbabwe;Harare;Afrika;Zimbabwe.png
Øst-Timor;Dili;Asia;Øst-Timor.png
Østerrike;Wien;Europa;Østerrike.png
